QUA,QUA_val,BLU,RED,NIR,SWR,BLU_1,RED_1,NIR_1,SWR_1,BLU_2,RED_2,NIR_2,SWR_2,BLU_3,RED_3,NIR_3,SWR_3,BLU_4,RED_4,NIR_4,SWR_4,Satellite_Date,Location,Altitude
False,251.0000,0.4175,0.3865,0.5555,0.4905,0.3970,0.3755,0.5480,0.4585,0.3985,0.3520,0.5345,0.4945,0.4560,0.4355,0.5945,0.5210,0.4450,0.4420,0.5900,0.4875,2014-05-08,Malic,850
True,248.0000,0.0675,0.0865,0.4115,0.1915,0.0855,0.1030,0.4250,0.2015,0.0655,0.0920,0.4315,0.1970,0.0435,0.0595,0.3930,0.1905,0.0570,0.0765,0.4075,0.1895,2014-05-09,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-10,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-11,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-12,Malic,850
False,27.0000,1.0370,1.0915,1.0920,0.3810,1.0370,1.0915,1.1035,0.3870,1.0370,1.0915,1.1060,0.3655,1.0370,1.0915,1.0005,0.3860,1.0370,1.0915,0.9350,0.4020,2014-05-13,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-14,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-16,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-17,Malic,850
False,123.0000,0.6115,0.4300,0.5390,0.3705,0.4040,0.4300,0.5545,0.3560,0.4320,0.4410,0.5475,0.3650,0.8440,0.5170,0.6130,0.3835,0.8170,0.4370,0.5525,0.3825,2014-05-18,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-19,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-20,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-21,Malic,850
True,248.0000,0.0165,0.0340,0.3515,0.1750,0.0155,0.0355,0.3695,0.1680,0.0155,0.0395,0.3825,0.1750,0.0150,0.0325,0.3395,0.1770,0.0165,0.0335,0.3740,0.1760,2014-05-22,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-23,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-25,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-26,Malic,850
False,251.0000,0.1125,0.0770,0.3665,0.1905,0.0830,0.0645,0.3775,0.1940,0.0975,0.0760,0.3805,0.1925,0.1290,0.1080,0.3590,0.1925,0.1235,0.0725,0.3745,0.1905,2014-05-27,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-28,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-29,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-05-30,Malic,850
False,59.0000,0.8660,1.0885,0.8895,0.5930,0.7845,1.0885,0.8960,0.5895,0.5010,1.0885,1.0205,0.5870,0.4765,1.0885,0.8880,0.5970,1.0570,1.0885,0.8935,0.6000,2014-05-31,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-01,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-03,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-04,Malic,850
False,251.0000,0.1035,0.0730,0.2380,0.1920,0.0520,0.0345,0.2405,0.1485,0.0620,0.0490,0.2360,0.1675,0.2600,0.2235,0.4185,0.2845,0.1060,0.0815,0.2810,0.2250,2014-06-05,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-06,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-07,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-08,Malic,850
False,248.0000,0.1100,0.1135,0.4225,0.1950,0.1215,0.1500,0.4380,0.2200,0.0765,0.0795,0.4045,0.1815,0.0500,0.0525,0.4385,0.1815,0.1260,0.1320,0.4375,0.2105,2014-06-09,Malic,850
True,248.0000,0.0155,0.0195,0.3870,0.2030,0.0180,0.0265,0.3975,0.1995,0.0165,0.0205,0.3735,0.1980,0.0130,0.0205,0.4690,0.2115,0.0150,0.0205,0.4195,0.2075,2014-06-10,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-11,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-12,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-13,Malic,850
False,59.0000,0.9440,0.5965,0.8285,0.5425,1.0645,0.9180,0.8455,0.5300,0.5220,0.5000,0.7235,0.5035,0.4545,0.5355,0.7560,0.5775,1.0510,0.6700,0.8830,0.5975,2014-06-14,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-15,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-17,Malic,850
False,251.0000,0.2050,0.1870,0.4155,0.2505,0.1940,0.1775,0.4020,0.2440,0.1910,0.1745,0.4050,0.2470,0.2085,0.1830,0.4285,0.2590,0.2170,0.1970,0.4265,0.2590,2014-06-18,Malic,850
False,251.0000,0.4925,0.5265,0.6650,0.3975,0.5620,0.5535,0.6760,0.4505,0.6090,0.5905,0.7220,0.4325,0.4375,0.4900,0.6190,0.2810,0.4280,0.4235,0.5810,0.3545,2014-06-19,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-20,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-21,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-22,Malic,850
False,251.0000,0.0900,0.0655,0.2375,0.1925,0.0715,0.0515,0.2125,0.1705,0.1055,0.0725,0.2520,0.1920,0.1430,0.1190,0.3270,0.2460,0.0975,0.0965,0.2895,0.2070,2014-06-23,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-24,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-26,Malic,850
False,251.0000,0.1495,0.1065,0.2815,0.1945,0.1375,0.1020,0.2740,0.1690,0.1295,0.0935,0.2680,0.1820,0.1560,0.1175,0.3155,0.2345,0.1570,0.1155,0.2940,0.2040,2014-06-27,Malic,850
False,251.0000,0.0060,0.0190,0.3865,0.1820,0.0055,0.0190,0.4145,0.1795,0.0070,0.0255,0.3980,0.1765,0.0070,0.0185,0.4595,0.1945,0.0055,0.0190,0.4275,0.1930,2014-06-28,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-29,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-06-30,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-01,Malic,850
True,248.0000,0.0195,0.0265,0.3885,0.1715,0.0205,0.0310,0.4220,0.1715,0.0210,0.0415,0.4060,0.1715,0.0125,0.0230,0.3795,0.1780,0.0175,0.0220,0.4140,0.1740,2014-07-02,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-03,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-05,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-06,Malic,850
True,248.0000,0.0215,0.0285,0.3335,0.2025,0.0230,0.0335,0.3575,0.2090,0.0215,0.0430,0.3145,0.2110,0.0190,0.0200,0.4490,0.2060,0.0195,0.0210,0.3810,0.2055,2014-07-07,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-08,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-09,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-10,Malic,850
False,27.0000,0.4475,1.0885,1.0350,0.5285,0.8610,1.0885,0.9740,0.5280,0.4485,1.0885,0.8995,0.5270,0.4865,1.0890,1.0385,0.5290,0.4705,1.0885,1.1400,0.5295,2014-07-11,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-12,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-07-14,Malic,850
